sample	strain	lineage	accession	chromosome	length	source	vni_subdivision	dataset	samples_in_lineage	samples_in_dataset_lineage	total_samples	norm_chrom_mean	norm_chrom_median	total_cnv_size	n_cnvs	first	last	mean_cnv_depth	median_cnv_depth	repeat_size	dup_coverage_percent	dup_span_size	dup_span_percent	dup_repeat_percent
ERS1142741	20427_2#44	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142741	20427_2#44	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142741	20427_2#44	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.03	4000	1	164001	168000	1.92	1.92	3807	0.29	3999	0.29	0.27
ERS1142741	20427_2#44	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142741	20427_2#44	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142741	20427_2#44	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.03	3000	1	7001	10000	1.62	1.62	79	0.28	2999	0.28	0.01
ERS1142741	20427_2#44	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4500	1	926001	930500	2.03	2.03	3387	0.29	4499	0.29	0.22
ERS1142741	20427_2#44	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.11	1.06	4500	1	162001	166500	2.99	2.99	1788	0.58	4499	0.58	0.23
ERS1142741	20427_2#44	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142741	20427_2#44	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	1867	1	941001	942867	0.56	0.56	1303	0.2	1866	0.2	0.14
ERS1142742	20427_2#45	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.02	0.98	11000	1	339501	350500	8.32	8.32	0	0.48	10999	0.48	0
ERS1142742	20427_2#45	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.29	0.98	17500	6	2501	1618500	13.93	1.6	4710	1.08	1615999	99.65	0.29
ERS1142742	20427_2#45	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.02	13500	1	12001	25500	1.69	1.69	484	0.86	13499	0.86	0.03
ERS1142742	20427_2#45	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1	1	4000	1	11501	15500	1.83	1.83	3194	0.37	3999	0.37	0.29
ERS1142742	20427_2#45	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.02	6000	2	1787001	1795500	1.56	1.56	375	0.33	8499	0.47	0.02
ERS1142742	20427_2#45	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.05	8500	1	1406501	1415000	1.71	1.71	96	0.6	8499	0.6	0.01
ERS1142742	20427_2#45	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.05	15500	4	12001	1394000	1.69	1.62	4060	1.11	1381999	98.75	0.29
ERS1142742	20427_2#45	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.05	15000	1	1374001	1389000	1.72	1.72	851	1.07	14999	1.07	0.06
ERS1142742	20427_2#45	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.02	23500	4	13001	1161000	1.68	1.7	1470	1.98	1147999	96.73	0.12
ERS1142742	20427_2#45	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.07	1.05	20500	6	4001	1048500	1.6	1.65	3082	1.93	1044499	98.54	0.29
ERS1142742	20427_2#45	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.02	27500	4	13501	1538000	1.74	1.69	4150	1.76	1524499	97.6	0.27
ERS1142742	20427_2#45	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.18	1.12	56000	3	25001	773500	2.51	1.73	3996	7.23	748499	96.7	0.52
ERS1142742	20427_2#45	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.12	1.12	26500	3	11001	739500	1.61	1.62	2521	3.5	728499	96.27	0.33
ERS1142742	20427_2#45	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.07	1.05	12867	2	922501	942867	2.14	2.14	4989	1.36	20366	2.16	0.53
ERS1142743	20427_2#46	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-93	Ashton	853	668	1055	1.03	1	11000	1	339501	350500	6.98	6.98	0	0.48	10999	0.48	0
ERS1142743	20427_2#46	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-93	Ashton	853	668	1055	1.23	0.98	7500	1	274001	281500	68.05	68.05	4710	0.46	7499	0.46	0.29
ERS1142743	20427_2#46	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-93	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142743	20427_2#46	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-93	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142743	20427_2#46	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-93	Ashton	853	668	1055	0.99	1	3000	1	475001	478000	2.34	2.34	810	0.17	2999	0.17	0.04
ERS1142743	20427_2#46	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-93	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142743	20427_2#46	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-93	Ashton	853	668	1055	1.02	1.02	4000	1	164001	168000	1.92	1.92	3807	0.29	3999	0.29	0.27
ERS1142743	20427_2#46	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-93	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142743	20427_2#46	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-93	Ashton	853	668	1055	1.03	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142743	20427_2#46	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-93	Ashton	853	668	1055	1.04	1.02	5000	1	582001	587000	4.24	4.24	2535	0.47	4999	0.47	0.24
ERS1142743	20427_2#46	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-93	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142743	20427_2#46	VNI	CP003831.1	chr12	774062	Clinical	VNIa-93	Ashton	853	668	1055	1.04	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142743	20427_2#46	VNI	CP003832.1	chr13	756744	Clinical	VNIa-93	Ashton	853	668	1055	1.01	1.02	3500	1	744001	747500	2.05	2.05	1415	0.46	3499	0.46	0.19
ERS1142743	20427_2#46	VNI	CP003833.2	chr14	942867	Clinical	VNIa-93	Ashton	853	668	1055	1.03	1.02	3500	1	925501	929000	2.81	2.81	47	0.37	3499	0.37	0
ERS1142744	20427_2#47	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	11000	1	339501	350500	6.11	6.11	0	0.48	10999	0.48	0
ERS1142744	20427_2#47	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.16	1	7000	1	274501	281500	47.06	47.06	4210	0.43	6999	0.43	0.26
ERS1142744	20427_2#47	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4000	1	164001	168000	1.91	1.91	3807	0.29	3999	0.29	0.27
ERS1142744	20427_2#47	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	0.99	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	4000	1	926501	930500	2.01	2.01	2887	0.26	3999	0.26	0.18
ERS1142744	20427_2#47	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.01	0.98	4500	1	162001	166500	4.11	4.11	1788	0.58	4499	0.58	0.23
ERS1142744	20427_2#47	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.96	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142744	20427_2#47	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	0.98	0.98	1867	1	941001	942867	0.48	0.48	1303	0.2	1866	0.2	0.14
ERS1142745	20427_2#48	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	11000	1	339501	350500	7.06	7.06	0	0.48	10999	0.48	0
ERS1142745	20427_2#48	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.2	1	7000	1	274501	281500	55.58	55.58	4210	0.43	6999	0.43	0.26
ERS1142745	20427_2#48	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4000	1	926501	930500	1.91	1.91	2887	0.26	3999	0.26	0.18
ERS1142745	20427_2#48	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.02	4000	1	162501	166500	3.56	3.56	1291	0.52	3999	0.52	0.17
ERS1142745	20427_2#48	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142745	20427_2#48	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1	1	1867	1	941001	942867	0.4	0.4	1303	0.2	1866	0.2	0.14
ERS1142746	20427_2#49	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.02	0.98	63500	6	24501	2273000	2.71	1.78	1487	2.77	2248499	98.12	0.06
ERS1142746	20427_2#49	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.19	0.95	65000	3	1	1619500	18.34	1.87	5967	4.01	1619499	99.87	0.37
ERS1142746	20427_2#49	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.02	52000	2	10001	1571000	1.85	1.85	2045	3.3	1560999	99.1	0.13
ERS1142746	20427_2#49	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1.12	1.07	58000	3	10501	1056000	1.73	1.68	5693	5.35	1045499	96.38	0.52
ERS1142746	20427_2#49	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.02	66500	3	25501	1808500	1.31	1.77	7226	3.66	1782999	98.24	0.4
ERS1142746	20427_2#49	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.02	49000	4	5001	1416000	1.69	1.68	999	3.44	1410999	99.19	0.07
ERS1142746	20427_2#49	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.07	1.05	60000	5	7001	1395500	1.79	1.82	4941	4.29	1388499	99.21	0.35
ERS1142746	20427_2#49	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.09	1.05	79000	5	24501	1389000	1.75	1.66	3473	5.65	1364499	97.56	0.25
ERS1142746	20427_2#49	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.08	1.02	89500	2	11001	1161500	1.81	1.81	4523	7.54	1150499	96.94	0.38
ERS1142746	20427_2#49	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.1	1.05	77500	5	3001	1052000	1.77	1.72	9821	7.31	1048999	98.97	0.93
ERS1142746	20427_2#49	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1	65000	6	12001	1541500	1.84	1.81	5282	4.16	1529499	97.92	0.34
ERS1142746	20427_2#49	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.26	1.16	108500	3	22001	774000	2.19	2	6647	14.02	751999	97.15	0.86
ERS1142746	20427_2#49	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.16	1.12	83500	2	8001	739500	1.83	1.83	4117	11.03	731499	96.66	0.54
ERS1142746	20427_2#49	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.12	1.07	49867	3	501	942867	2.22	1.96	8531	5.29	942366	99.95	0.9
ERS1142747	20427_2#50	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	11000	1	339501	350500	6.09	6.09	0	0.48	10999	0.48	0
ERS1142747	20427_2#50	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.19	1	7000	1	274501	281500	52.06	52.06	4210	0.43	6999	0.43	0.26
ERS1142747	20427_2#50	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1	1	4000	1	164001	168000	2	2	3807	0.29	3999	0.29	0.27
ERS1142747	20427_2#50	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4500	1	926001	930500	1.78	1.78	3387	0.29	4499	0.29	0.22
ERS1142747	20427_2#50	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.02	4000	1	162501	166500	3.34	3.34	1291	0.52	3999	0.52	0.17
ERS1142747	20427_2#50	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142747	20427_2#50	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	1867	1	941001	942867	0.44	0.44	1303	0.2	1866	0.2	0.14
ERS1142748	20427_2#51	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-5	Ashton	853	668	1055	0.97	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-5	Ashton	853	668	1055	1.18	1	6500	1	274501	281000	52.06	52.06	3735	0.4	6499	0.4	0.23
ERS1142748	20427_2#51	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-5	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-5	Ashton	853	668	1055	1.04	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-5	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-5	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-5	Ashton	853	668	1055	1.02	1.02	4000	1	164001	168000	2.14	2.14	3807	0.29	3999	0.29	0.27
ERS1142748	20427_2#51	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-5	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-5	Ashton	853	668	1055	1.03	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-5	Ashton	853	668	1055	1.03	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-5	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003831.1	chr12	774062	Clinical	VNIa-5	Ashton	853	668	1055	1.08	1.07	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142748	20427_2#51	VNI	CP003832.1	chr13	756744	Clinical	VNIa-5	Ashton	853	668	1055	1.06	1.07	8000	1	742501	750500	2.36	2.36	4128	1.06	7999	1.06	0.55
ERS1142748	20427_2#51	VNI	CP003833.2	chr14	942867	Clinical	VNIa-5	Ashton	853	668	1055	1.05	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-32	Ashton	853	668	1055	0.95	0.92	11000	1	339501	350500	2.82	2.82	0	0.48	10999	0.48	0
ERS1142749	20427_2#52	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-32	Ashton	853	668	1055	1.16	0.95	7000	1	274501	281500	56.46	56.46	4210	0.43	6999	0.43	0.26
ERS1142749	20427_2#52	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-32	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-32	Ashton	853	668	1055	1.03	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-32	Ashton	853	668	1055	0.99	0.97	38500	1	7001	45500	2.42	2.42	3361	2.12	38499	2.12	0.19
ERS1142749	20427_2#52	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-32	Ashton	853	668	1055	1.03	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-32	Ashton	853	668	1055	1.05	1.05	4500	1	163501	168000	2.17	2.17	3807	0.32	4499	0.32	0.27
ERS1142749	20427_2#52	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-32	Ashton	853	668	1055	1.04	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-32	Ashton	853	668	1055	1.07	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-32	Ashton	853	668	1055	1.08	1.08	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-32	Ashton	853	668	1055	0.98	0.97	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003831.1	chr12	774062	Clinical	VNIa-32	Ashton	853	668	1055	1.16	1.14	4000	1	163001	167000	2.14	2.14	1597	0.52	3999	0.52	0.21
ERS1142749	20427_2#52	VNI	CP003832.1	chr13	756744	Clinical	VNIa-32	Ashton	853	668	1055	1.13	1.16	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142749	20427_2#52	VNI	CP003833.2	chr14	942867	Clinical	VNIa-32	Ashton	853	668	1055	1.08	1.08	867	1	942001	942867	0	0	867	0.09	866	0.09	0.09
ERS1142750	20427_2#53	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1	0.98	11000	1	339501	350500	6.32	6.32	0	0.48	10999	0.48	0
ERS1142750	20427_2#53	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.23	0.98	7500	1	274001	281500	64.95	64.95	4710	0.46	7499	0.46	0.29
ERS1142750	20427_2#53	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.98	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4000	1	164001	168000	1.89	1.89	3807	0.29	3999	0.29	0.27
ERS1142750	20427_2#53	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.98	4500	1	926001	930500	2.05	2.05	3387	0.29	4499	0.29	0.22
ERS1142750	20427_2#53	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.07	1.05	5500	1	161501	167000	4.66	4.66	2604	0.71	5499	0.71	0.34
ERS1142750	20427_2#53	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142750	20427_2#53	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	1867	1	941001	942867	0.5	0.5	1303	0.2	1866	0.2	0.14
ERS1142751	20427_2#54	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-5	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142751	20427_2#54	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-5	Ashton	853	668	1055	1.14	0.97	6500	1	274501	281000	40.96	40.96	3735	0.4	6499	0.4	0.23
ERS1142751	20427_2#54	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-5	Ashton	853	668	1055	1.02	1	4000	1	1533001	1537000	6.01	6.01	312	0.25	3999	0.25	0.02
ERS1142751	20427_2#54	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-5	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142751	20427_2#54	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-5	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142751	20427_2#54	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-5	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142751	20427_2#54	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-5	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142751	20427_2#54	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-5	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
